Location,White,Black,Hispanic,Asian/Native Hawaiian and Pacific Islander,American Indian/Alaska Native,Multiple Races,Total,Year
New York,0.09300000000000001,0.20800000000000002,0.217,0.149,0.27699999999999997,0.158,0.14,2017
North Carolina,0.10400000000000001,0.217,0.276,0.133,0.253,0.205,0.149,2017
North Dakota,0.08,0.24686363636363629,0.16899999999999998,0.12899999999999998,0.32899999999999996,0.196,0.098,2017
Ohio,0.106,0.284,0.265,0.138,0.308,0.26,0.139,2017
Oklahoma,0.12300000000000001,0.258,0.22899999999999998,0.098,0.205,0.188,0.154,2017
Oregon,0.11699999999999999,0.263,0.18899999999999997,0.136,0.245,0.159,0.132,2017
Pennsylvania,0.091,0.253,0.27899999999999997,0.14,0.32299999999999995,0.17800000000000002,0.125,2017
Rhode Island,0.08,0.222,0.24100000000000002,0.14,0.2637368421052632,0.142,0.11699999999999999,2017
South Carolina,0.105,0.243,0.272,0.13699999999999998,0.24600000000000002,0.23399999999999999,0.154,2017
South Dakota,0.079,0.24686363636363629,0.16,0.12899999999999998,0.532,0.17475000000000004,0.122,2017
Tennessee,0.12300000000000001,0.242,0.243,0.11699999999999999,0.21600000000000003,0.209,0.151,2017
Texas,0.085,0.19,0.204,0.099,0.17800000000000002,0.129,0.146,2017
Utah,0.08,0.196,0.157,0.131,0.28800000000000003,0.109,0.096,2017
Vermont,0.10800000000000001,0.24686363636363629,0.21098,0.12899999999999998,0.2637368421052632,0.17475000000000004,0.111,2017
Virginia,0.08199999999999999,0.18,0.12300000000000001,0.068,0.2637368421052632,0.135,0.105,2017
Washington,0.08800000000000001,0.201,0.21100000000000002,0.09699999999999999,0.29100000000000004,0.126,0.11199999999999999,2017
West Virginia,0.184,0.305,0.264,0.12899999999999998,0.5529999999999999,0.285,0.191,2017
Wisconsin,0.083,0.292,0.205,0.142,0.266,0.209,0.109,2017
Wyoming,0.10099999999999999,0.24686363636363629,0.214,0.12899999999999998,0.28300000000000003,0.226,0.11800000000000001,2017
Puerto Rico,0.311,0.24686363636363629,0.446,0.12899999999999998,0.2637368421052632,0.17475000000000004,0.445,2017
United States,0.094,0.22399999999999998,0.18899999999999997,0.10800000000000001,0.245,0.155,0.131,2018
Alabama,0.114,0.273,0.33799999999999997,0.087,0.18,0.22699999999999998,0.168,2018
Alaska,0.07200000000000001,0.23525000000000001,0.049,0.21,0.213,0.12,0.107,2018
Arizona,0.09,0.187,0.19399999999999998,0.122,0.345,0.142,0.139,2018
Arkansas,0.13699999999999998,0.305,0.255,0.187,0.138,0.204,0.174,2018
California,0.09,0.196,0.166,0.099,0.165,0.11,0.128,2018
Colorado,0.075,0.177,0.147,0.096,0.254,0.131,0.098,2018
Connecticut,0.06,0.18100000000000002,0.231,0.086,0.24013513513513507,0.133,0.10400000000000001,2018
Delaware,0.08,0.18100000000000002,0.21600000000000003,0.078,0.24013513513513507,0.20199999999999999,0.11800000000000001,2018
District of Columbia,0.064,0.27,0.12300000000000001,0.12527272727272729,0.24013513513513507,0.12300000000000001,0.166,2018
Florida,0.09699999999999999,0.209,0.166,0.125,0.157,0.14,0.134,2018
Georgia,0.1,0.198,0.21600000000000003,0.102,0.19899999999999998,0.182,0.14400000000000002,2018
Hawaii,0.096,0.23525000000000001,0.128,0.08,0.24013513513513507,0.11199999999999999,0.095,2018
Idaho,0.10400000000000001,0.23525000000000001,0.20800000000000002,0.12527272727272729,0.23399999999999999,0.16399999999999998,0.12,2018
Illinois,0.084,0.23800000000000002,0.149,0.11599999999999999,0.24013513513513507,0.154,0.11900000000000001,2018
Indiana,0.10400000000000001,0.258,0.217,0.18899999999999997,0.261,0.23800000000000002,0.131,2018
Iowa,0.09300000000000001,0.35700000000000004,0.19,0.153,0.24013513513513507,0.25,0.11199999999999999,2018
Kansas,0.09300000000000001,0.278,0.221,0.085,0.161,0.225,0.122,2018
